id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7HKxTNVlkHsfMLhigmhC0I,Call Me,Blondie,63,1/1/2004,0.554,0.833,2,-6.667,0,0.000646,0.0025,0.0737,0.773,142.673,212227,4
4gMgiXfqyzZLMhsksGmbQV,Another Brick in the Wall Pt. 2,Pink Floyd,73,11/30/1979,0.693,0.394,0,-15.882,1,0.0782,0.000694,0.247,0.721,104.114,238747,4
56BSwBKWHYldQOgYLHiehs,Magic,Olivia Newton-John,46,1/1/1980,0.697,0.611,2,-5.997,1,0.0178,8.92E-05,0.11,0.603,103.77,271667,4
7oOOI85fVQvVnK5ynNMdW7,Rock with You - Single Version,Michael Jackson,73,8/10/1979,0.808,0.535,1,-12.521,1,0.179,9.91E-05,0.158,0.848,114.031,220627,4
0m4jVVZrsv0bLkAr1uM6UG,Do That To Me One More Time,Captain & Tennille,66,1/1/1979,0.728,0.524,7,-8.227,1,0.563,0.000131,0.0913,0.51,90.262,256667,4
35ItUJlMtjOQW3SSiTCrrw,Crazy Little Thing Called Love - Remastered 2011,Queen,65,6/27/1980,0.599,0.762,0,-6.887,1,0.714,4.43E-06,0.35,0.715,76.961,163373,4
4Ku6X72Q815qNd7ChuiDdD,Coming Up - Remastered 2011,Paul McCartney,49,5/16/1980,0.817,0.767,8,-7.194,1,0.457,0.0723,0.0606,0.878,128.93,231880,4
2XVQdI3m0giGxNrwUhV3yP,Funkytown,Lipps Inc.,68,11/1/1979,0.894,0.423,0,-13.968,1,0.00239,0.446,0.0796,0.462,122.144,470347,4
64UioB4Nmwgn2f4cbIpAkl,It's Still Rock and Roll to Me,Billy Joel,66,3/12/1980,0.752,0.684,0,-7.599,1,0.0994,0,0.0897,0.539,141.075,176440,4
562JrM9b7jiu8LgzV62x3o,The Rose,Bette Midler,65,1979,0.347,0.228,0,-9.667,1,0.901,0,0.38,0.184,133.574,221373,4
5IMtdHjJ1OtkxbGe4zfUxQ,Escape (The Pina Colada Song),Rupert Holmes,73,1/1/1979,0.836,0.509,0,-13.668,1,0.467,4.10E-06,0.0436,0.949,138.714,276493,4
4QQEzkxcONBthDLfzqIh9S,Cars,Gary Numan,61,9/7/1979,0.545,0.578,2,-8.745,1,0.0114,6.57E-05,0.0692,0.819,128.038,238907,4
2gliw3L0oa4w8LqaHploje,Cruisin',Smokey Robinson,61,5/22/1979,0.498,0.63,6,-5.808,0,0.416,0,0.238,0.822,169.115,352920,4
1wouF9mtyiwZDYiq5YElaq,Working My Way Back to You / Forgive Me Girl,The Spinners,50,10/30/2007,0.837,0.703,9,-9.385,0,0.415,2.73E-05,0.153,0.914,121.556,245480,4
7dQC53NiYOY9gKg3Qsu2Bs,All Out of Love,Air Supply,65,2/25/1980,0.513,0.262,0,-16.875,1,0.313,5.51E-06,0.456,0.357,108.383,243000,4
19Kf8FxBJ5a1Bb8uKCrIIe,Little Jeannie,Elton John,51,5/13/1980,0.616,0.444,10,-14.224,1,0.461,0.000115,0.0847,0.763,143.805,313187,4
7gUMShP1l20tC0xf17Zplk,Ride Like the Wind,Christopher Cross,64,1979,0.669,0.707,0,-13.66,0,0.347,0.000716,0.0997,0.806,124.335,275507,4
3pbtBomO4Zt5gGiqsYeiBH,Upside Down,Diana Ross,68,5/22/1980,0.873,0.855,5,-8.559,0,0.179,0.0285,0.0377,0.884,107.868,245600,4
6dw6BquK0Mv72p6HpusqKN,Please Don't Go - Single Version,KC & The Sunshine Band,48,5/1/1979,0.482,0.615,6,-11.093,1,0.00888,1.78E-06,0.0431,0.437,96.307,230533,4
5W7YROOF6bFfBexY81LFjt,Babe,Styx,63,1/1/1979,0.267,0.204,2,-13.714,1,0.527,0,0.0924,0.0903,169.486,265973,4
7wlPnBfcywEctiVWwCdxvn,With You I'm Born Again,Syreeta,39,1/1/2000,0.348,0.313,10,-11.379,1,0.866,0.000257,0.13,0.356,82.004,220600,3
0np4arBSp4ZBOfXGZhXQ4I,Shining Star,The Manhattans,52,1980,0.612,0.329,4,-13.038,1,0.0633,0,0.0658,0.572,74.046,281853,4
2OQOYULLeWnGzlGcXQMGLv,Still,Commodores,50,1/1/1979,0.293,0.0557,1,-21.031,1,0.938,0.00109,0.108,0.237,88.274,347093,3
71k4FgJ4GuBq35Zre9BCdc,Yes I'm Ready,KC & The Sunshine Band,26,4/4/1996,0.664,0.358,5,-15.493,1,0.773,0.000916,0.0647,0.582,106.186,198600,3
6uxGAruWvj6O2hVBBTNITa,Sexy Eyes - Single Version,Dr. Hook,50,1/1/2009,0.734,0.735,9,-10.13,0,0.373,0,0.227,0.883,103.862,177427,4
